gene_id	gene_name	gene_type	alias	chromosome_name	start_position	end_position	strand	MSTIC1	MSTIC2	MSTIC3	MSTIC4	MSUT1	MSUT2	MSUT3	MSUT4
MIMAT0001413	hsa-miR-20b-5p	miRNA	MIMAT0001413	chrX	134169850	134169872	-	149	119	32	54	69	65	61	8
MIMAT0001545	hsa-miR-450a-5p	miRNA	MIMAT0001545	chrX	134540393	134540414	-	80	51	21	13	0	52	8	19
MIMAT0001545_1	hsa-miR-450a-5p	miRNA	MIMAT0001545	chrX	134540564	134540585	-	122	42	27	24	50	52	7	13
MIMAT0001618	hsa-miR-191-3p	miRNA	MIMAT0001618	chr3	49020631	49020652	-	23	0	0	0	4	18	0	0
MIMAT0001621	hsa-miR-369-5p	miRNA	MIMAT0001621	chr14	101065606	101065627	+	323	285	213	58	157	162	24	72
MIMAT0001625	hsa-miR-431-5p	miRNA	MIMAT0001625	chr14	100881026	100881046	+	83	36	33	10	8	14	9	6
MIMAT0001627	hsa-miR-433-3p	miRNA	MIMAT0001627	chr14	100881949	100881970	+	153	111	18	2	32	56	18	18
MIMAT0001629	hsa-miR-329-3p	miRNA	MIMAT0001629	chr14	101026834	101026855	+	96	70	11	5	24	32	14	9
MIMAT0001629_1	hsa-miR-329-3p	miRNA	MIMAT0001629	chr14	101027151	101027172	+	90	66	13	5	43	25	13	3
MIMAT0001631	hsa-miR-451a	miRNA	MIMAT0001631	chr17	28861403	28861424	-	44	51	348	816	232	211	1478	1188
MIMAT0001635	hsa-miR-452-5p	miRNA	MIMAT0001635	chrX	151959678	151959699	-	69	54	17	11	16	44	0	10
MIMAT0001636	hsa-miR-452-3p	miRNA	MIMAT0001636	chrX	151959634	151959655	-	4	2	0	0	3	0	0	0
MIMAT0001638	hsa-miR-409-5p	miRNA	MIMAT0001638	chr14	101065314	101065336	+	624	436	176	72	185	84	32	29
MIMAT0001639	hsa-miR-409-3p	miRNA	MIMAT0001639	chr14	101065346	101065367	+	665	487	287	51	237	341	20	67
MIMAT0002170	hsa-miR-412-3p	miRNA	MIMAT0002170	chr14	101065500	101065522	+	10	0	0	0	16	0	0	4
MIMAT0002171	hsa-miR-410-3p	miRNA	MIMAT0002171	chr14	101065961	101065981	+	15	13	0	4	1	23	0	1
MIMAT0002172	hsa-miR-376b-3p	miRNA	MIMAT0002172	chr14	101040497	101040518	+	235	168	133	30	39	67	37	28
MIMAT0002173	hsa-miR-483-3p	miRNA	MIMAT0002173	chr11	2134142	2134162	-	117	100	43	15	65	61	20	37
MIMAT0002174	hsa-miR-484	miRNA	MIMAT0002174	chr16	15643301	15643322	+	504	450	143	68	207	425	105	153
MIMAT0002175	hsa-miR-485-5p	miRNA	MIMAT0002175	chr14	101055427	101055448	+	213	166	39	25	95	143	7	20
MIMAT0002176	hsa-miR-485-3p	miRNA	MIMAT0002176	chr14	101055464	101055485	+	38	41	37	0	10	15	13	10
MIMAT0002177	hsa-miR-486-5p	miRNA	MIMAT0002177	chr8	41660484	41660505	-	208	248	665	805	342	780	2279	1643
MIMAT0002177_1	hsa-miR-486-5p	miRNA	MIMAT0002177	chr8	41660444	41660465	+	241	242	643	842	336	790	2323	1652
MIMAT0002178	hsa-miR-487a-3p	miRNA	MIMAT0002178	chr14	101052494	101052515	+	329	291	161	68	186	192	30	68
MIMAT0002807	hsa-miR-491-5p	miRNA	MIMAT0002807	chr9	20716120	20716141	+	5	11	0	0	6	15	0	0
MIMAT0002809	hsa-miR-146b-5p	miRNA	MIMAT0002809	chr10	102436520	102436542	+	612	604	225	33	104	122	50	173
MIMAT0002813	hsa-miR-493-5p	miRNA	MIMAT0002813	chr14	100869075	100869096	+	79	68	63	32	41	59	16	62
MIMAT0002814	hsa-miR-432-5p	miRNA	MIMAT0002814	chr14	100884496	100884518	+	442	251	84	35	151	188	12	40
MIMAT0002816	hsa-miR-494-3p	miRNA	MIMAT0002816	chr14	101029681	101029702	+	1003	1069	547	244	441	498	119	227
MIMAT0002817	hsa-miR-495-3p	miRNA	MIMAT0002817	chr14	101033804	101033825	+	324	251	116	64	108	104	17	24
MIMAT0002818	hsa-miR-496	miRNA	MIMAT0002818	chr14	101060628	101060649	+	29	13	1	4	6	15	2	20
MIMAT0002819	hsa-miR-193b-3p	miRNA	MIMAT0002819	chr16	14304017	14304038	+	245	113	54	33	42	41	36	30
MIMAT0002820	hsa-miR-497-5p	miRNA	MIMAT0002820	chr17	7017979	7017999	-	6	8	20	4	0	6	34	23
MIMAT0002821	hsa-miR-181d-5p	miRNA	MIMAT0002821	chr19	13874910	13874932	+	27	31	0	0	4	0	0	7
MIMAT0002871	hsa-miR-500a-3p	miRNA	MIMAT0002871	chrX	50008482	50008503	+	118	115	48	17	57	113	41	52
MIMAT0002872	hsa-miR-501-5p	miRNA	MIMAT0002872	chrX	50009735	50009756	+	17	4	2	0	0	0	10	20
MIMAT0002874	hsa-miR-503-5p	miRNA	MIMAT0002874	chrX	134546371	134546393	-	542	439	478	114	293	406	117	260
MIMAT0002875	hsa-miR-504-5p	miRNA	MIMAT0002875	chrX	138667760	138667781	-	8	9	0	0	0	0	0	0
MIMAT0002876	hsa-miR-505-3p	miRNA	MIMAT0002876	chrX	139924160	139924181	-	200	152	7	4	46	47	16	13
MIMAT0002878	hsa-miR-506-3p	miRNA	MIMAT0002878	chrX	147230753	147230773	-	7	4	0	0	6	0	0	0
MIMAT0002888	hsa-miR-532-5p	miRNA	MIMAT0002888	chrX	50003167	50003188	+	59	63	8	27	6	55	37	18
MIMAT0002890	hsa-miR-299-5p	miRNA	MIMAT0002890	chr14	101023800	101023821	+	36	45	27	2	5	10	13	0
MIMAT0002891	hsa-miR-18a-3p	miRNA	MIMAT0002891	chr13	91350797	91350819	+	13	3	9	5	0	0	0	0
MIMAT0003150	hsa-miR-455-5p	miRNA	MIMAT0003150	chr9	114209449	114209470	+	17	15	0	9	9	0	4	0
MIMAT0003161	hsa-miR-493-3p	miRNA	MIMAT0003161	chr14	100869116	100869137	+	17	4	6	0	3	0	6	2
MIMAT0003163	hsa-miR-539-5p	miRNA	MIMAT0003163	chr14	101047329	101047350	+	37	50	0	0	7	18	3	7
MIMAT0003180	hsa-miR-487b-3p	miRNA	MIMAT0003180	chr14	101046505	101046526	+	721	792	373	93	270	254	86	60
MIMAT0003214	hsa-miR-551a	miRNA	MIMAT0003214	chr1	3560710	3560730	-	5	0	0	0	0	12	0	0
MIMAT0003218	hsa-miR-92b-3p	miRNA	MIMAT0003218	chr1	155195237	155195258	+	6573	12673	2650	641	7708	8542	820	1518
MIMAT0003220	hsa-miR-556-5p	miRNA	MIMAT0003220	chr1	162342561	162342582	+	14	3	0	0	3	8	0	0
MIMAT0003239	hsa-miR-574-3p	miRNA	MIMAT0003239	chr4	38868092	38868113	+	1785	1255	590	97	278	527	87	182
MIMAT0003241	hsa-miR-576-5p	miRNA	MIMAT0003241	chr4	109488713	109488734	+	3	0	6	0	0	2	13	9
MIMAT0003242	hsa-miR-577	miRNA	MIMAT0003242	chr4	114656774	114656794	+	3	8	0	0	0	2	0	7
MIMAT0003247	hsa-miR-582-5p	miRNA	MIMAT0003247	chr5	59703666	59703688	-	78	43	7	0	14	0	3	3
MIMAT0003249	hsa-miR-584-5p	miRNA	MIMAT0003249	chr5	149062373	149062394	-	8	11	0	40	19	7	1	47
MIMAT0003254	hsa-miR-548b-3p	miRNA	MIMAT0003254	chr6	119069062	119069083	-	3	1	0	0	0	10	0	0
MIMAT0003256	hsa-miR-589-3p	miRNA	MIMAT0003256	chr7	5495834	5495857	-	28	20	5	8	0	13	0	0
MIMAT0003266	hsa-miR-598-3p	miRNA	MIMAT0003266	chr8	11035221	11035242	-	89	44	32	0	16	0	0	12
MIMAT0003293	hsa-miR-624-5p	miRNA	MIMAT0003293	chr14	31014706	31014727	-	15	12	4	0	0	0	0	0
MIMAT0003294	hsa-miR-625-5p	miRNA	MIMAT0003294	chr14	65471116	65471136	+	7	12	0	1	0	0	0	11
MIMAT0003296	hsa-miR-627-5p	miRNA	MIMAT0003296	chr15	42199630	42199651	-	2	0	0	9	0	0	0	0
MIMAT0003297	hsa-miR-628-3p	miRNA	MIMAT0003297	chr15	55372954	55372974	-	172	167	38	34	78	150	17	73
MIMAT0003298	hsa-miR-629-3p	miRNA	MIMAT0003298	chr15	70079387	70079408	-	1	0	8	0	0	0	0	0
MIMAT0003311	hsa-miR-641	miRNA	MIMAT0003311	chr19	40282603	40282626	-	51	52	0	11	11	6	8	1
MIMAT0003322	hsa-miR-652-3p	miRNA	MIMAT0003322	chrX	110055389	110055409	+	521	441	188	127	286	218	237	211
MIMAT0003329	hsa-miR-411-5p	miRNA	MIMAT0003329	chr14	101023340	101023360	+	237	217	116	58	28	64	62	50
MIMAT0003330	hsa-miR-654-5p	miRNA	MIMAT0003330	chr14	101040234	101040255	+	35	13	10	0	11	0	7	0
MIMAT0003331	hsa-miR-655-3p	miRNA	MIMAT0003331	chr14	101049610	101049631	+	7	10	0	1	4	0	1	0
MIMAT0003332	hsa-miR-656-3p	miRNA	MIMAT0003332	chr14	101066766	101066786	+	15	35	1	3	0	4	0	24
MIMAT0003338	hsa-miR-660-5p	miRNA	MIMAT0003338	chrX	50013256	50013277	+	1	4	5	9	4	2	6	7
MIMAT0003339	hsa-miR-421	miRNA	MIMAT0003339	chrX	74218392	74218414	-	266	258	43	38	246	227	37	80
MIMAT0003340	hsa-miR-542-5p	miRNA	MIMAT0003340	chrX	134541400	134541422	-	6	5	4	0	8	1	0	0
MIMAT0003389	hsa-miR-542-3p	miRNA	MIMAT0003389	chrX	134541364	134541385	-	6	0	0	0	0	2	0	0
MIMAT0003393	hsa-miR-425-5p	miRNA	MIMAT0003393	chr3	49020199	49020221	-	267	210	60	91	128	102	40	61
MIMAT0003879	hsa-miR-758-3p	miRNA	MIMAT0003879	chr14	101026071	101026092	+	58	35	6	5	12	7	0	0
MIMAT0003880	hsa-miR-671-5p	miRNA	MIMAT0003880	chr7	151238449	151238471	+	100	77	6	12	26	22	16	15
MIMAT0003881	hsa-miR-668-3p	miRNA	MIMAT0003881	chr14	101055300	101055322	+	13	11	0	6	7	2	6	0
MIMAT0003882	hsa-miR-767-5p	miRNA	MIMAT0003882	chrX	152393481	152393503	-	6	9	0	0	0	6	0	0
MIMAT0003884	hsa-miR-454-5p	miRNA	MIMAT0003884	chr17	59137828	59137849	-	13	6	0	0	0	0	0	0
MIMAT0003885	hsa-miR-454-3p	miRNA	MIMAT0003885	chr17	59137787	59137809	-	124	112	31	1	35	19	23	24
MIMAT0003886	hsa-miR-769-5p	miRNA	MIMAT0003886	chr19	46018961	46018982	+	19	15	11	2	29	10	0	4
MIMAT0003887	hsa-miR-769-3p	miRNA	MIMAT0003887	chr19	46019000	46019022	+	1	0	3	0	0	0	0	0
MIMAT0003888	hsa-miR-766-3p	miRNA	MIMAT0003888	chrX	119646763	119646784	-	45	31	20	14	2	23	0	5
MIMAT0003948	hsa-miR-770-5p	miRNA	MIMAT0003948	chr14	100852409	100852431	+	8	3	4	0	3	6	0	10
MIMAT0004185	hsa-miR-802	miRNA	MIMAT0004185	chr21	35720732	35720754	+	0	0	4	0	0	0	6	10
MIMAT0004284	hsa-miR-675-5p	miRNA	MIMAT0004284	chr11	1996800	1996822	-	1	5	2	0	11	0	0	3
MIMAT0004481	hsa-let-7a-3p	miRNA	MIMAT0004481	chr22	46112800	46112820	+	12	16	6	0	0	20	0	0
MIMAT0004481_1	hsa-let-7a-3p	miRNA	MIMAT0004481	chr9	94176013	94176033	+	3	7	0	0	1	0	0	0
MIMAT0004482	hsa-let-7b-3p	miRNA	MIMAT0004482	chr22	46113745	46113766	+	21	21	25	0	6	7	0	0
MIMAT0004484	hsa-let-7d-3p	miRNA	MIMAT0004484	chr9	94178895	94178916	+	142	197	71	3	104	109	20	49
MIMAT0004485	hsa-let-7e-3p	miRNA	MIMAT0004485	chr19	51692838	51692859	+	17	34	0	0	10	13	8	0
MIMAT0004486	hsa-let-7f-1-3p	miRNA	MIMAT0004486	chr9	94176409	94176430	+	18	1	0	2	15	0	11	0
MIMAT0004487	hsa-let-7f-2-3p	miRNA	MIMAT0004487	chrX	53557196	53557217	-	2	5	5	0	0	0	0	0
MIMAT0004493	hsa-miR-20a-3p	miRNA	MIMAT0004493	chr13	91351108	91351129	+	15	3	0	33	0	1	0	0
MIMAT0004494	hsa-miR-21-3p	miRNA	MIMAT0004494	chr17	59841311	59841331	+	69	65	55	21	41	14	4	10
MIMAT0004495	hsa-miR-22-5p	miRNA	MIMAT0004495	chr17	1713952	1713973	-	140	71	108	45	39	51	35	69
MIMAT0004497	hsa-miR-24-2-5p	miRNA	MIMAT0004497	chr19	13836326	13836347	-	5	10	4	0	0	0	1	0
MIMAT0004498	hsa-miR-25-5p	miRNA	MIMAT0004498	chr7	100093610	100093630	-	75	36	0	24	13	8	3	9
MIMAT0004500	hsa-miR-26b-3p	miRNA	MIMAT0004500	chr2	218402692	218402712	+	6	9	0	0	0	0	0	6
MIMAT0004501	hsa-miR-27a-5p	miRNA	MIMAT0004501	chr19	13836487	13836508	-	7	3	0	0	0	3	0	0
MIMAT0004502	hsa-miR-28-3p	miRNA	MIMAT0004502	chr3	188688834	188688855	+	1682	1516	536	176	622	722	138	170
MIMAT0004503	hsa-miR-29a-5p	miRNA	MIMAT0004503	chr7	130876786	130876807	-	0	4	0	0	0	0	0	1
MIMAT0004505	hsa-miR-32-3p	miRNA	MIMAT0004505	chr9	109046231	109046252	-	15	10	3	0	6	0	0	0
MIMAT0004506	hsa-miR-33a-3p	miRNA	MIMAT0004506	chr22	41900989	41901010	+	2	3	3	0	0	0	0	0
MIMAT0004507	hsa-miR-92a-1-5p	miRNA	MIMAT0004507	chr13	91351324	91351346	+	8	24	0	0	10	13	0	0
MIMAT0004508	hsa-miR-92a-2-5p	miRNA	MIMAT0004508	chrX	134169583	134169604	-	12	10	7	0	0	0	0	0
MIMAT0004509	hsa-miR-93-3p	miRNA	MIMAT0004509	chr7	100093777	100093798	-	394	261	101	33	195	229	13	60
MIMAT0004511	hsa-miR-99a-3p	miRNA	MIMAT0004511	chr21	16539138	16539159	+	31	14	2	0	8	26	0	0
MIMAT0004512	hsa-miR-100-3p	miRNA	MIMAT0004512	chr11	122152240	122152261	-	5	2	9	0	0	0	5	11
MIMAT0004514	hsa-miR-29b-1-5p	miRNA	MIMAT0004514	chr7	130877507	130877530	-	10	16	6	0	11	0	0	0
MIMAT0004518	hsa-miR-16-2-3p	miRNA	MIMAT0004518	chr3	160404797	160404818	+	14	9	0	0	0	0	6	0
MIMAT0004550	hsa-miR-30c-2-3p	miRNA	MIMAT0004550	chr6	71376964	71376985	-	63	63	0	4	0	6	0	0
MIMAT0004553	hsa-miR-7-1-3p	miRNA	MIMAT0004553	chr9	83969771	83969792	-	4	0	9	0	0	0	0	12
MIMAT0004558	hsa-miR-181a-2-3p	miRNA	MIMAT0004558	chr9	124692518	124692539	+	796	666	241	63	640	312	105	125
MIMAT0004559	hsa-miR-181c-3p	miRNA	MIMAT0004559	chr19	13874763	13874784	+	167	116	27	3	105	30	23	7
MIMAT0004560	hsa-miR-183-3p	miRNA	MIMAT0004560	chr7	129774928	129774949	-	0	2	4	0	0	0	0	0
MIMAT0004563	hsa-miR-199b-3p	miRNA	MIMAT0004563	chr9	128244745	128244766	-	1368	1225	1342	692	427	653	767	1745
MIMAT0004565	hsa-miR-218-1-3p	miRNA	MIMAT0004565	chr4	20528342	20528363	+	21	29	3	0	0	10	0	0
MIMAT0004567	hsa-miR-219a-1-3p	miRNA	MIMAT0004567	chr6	33207896	33207917	+	48	27	4	13	16	14	0	0
MIMAT0004568	hsa-miR-221-5p	miRNA	MIMAT0004568	chrX	45746221	45746242	-	874	830	287	111	402	328	59	58
MIMAT0004569	hsa-miR-222-5p	miRNA	MIMAT0004569	chrX	45747073	45747094	-	38	18	33	25	23	21	23	9
MIMAT0004570	hsa-miR-223-5p	miRNA	MIMAT0004570	chrX	66018895	66018916	+	0	0	4	12	0	0	0	59
MIMAT0004571	hsa-miR-200b-5p	miRNA	MIMAT0004571	chr1	1167124	1167145	+	12	17	0	34	33	5	5	0
MIMAT0004585	hsa-let-7i-3p	miRNA	MIMAT0004585	chr12	62603747	62603768	+	1	3	0	0	0	0	0	0
MIMAT0004586	hsa-miR-15b-3p	miRNA	MIMAT0004586	chr3	160404645	160404666	+	9	13	5	0	3	0	16	8
MIMAT0004587	hsa-miR-23b-5p	miRNA	MIMAT0004587	chr9	95085227	95085248	+	7	18	6	9	15	15	6	0
MIMAT0004588	hsa-miR-27b-5p	miRNA	MIMAT0004588	chr9	95085463	95085484	+	36	39	16	0	12	0	12	3
MIMAT0004589	hsa-miR-30b-3p	miRNA	MIMAT0004589	chr8	134800532	134800553	-	0	0	0	0	7	0	0	12
MIMAT0004592	hsa-miR-125b-1-3p	miRNA	MIMAT0004592	chr11	122099769	122099790	-	123	67	39	0	42	85	26	14
MIMAT0004594	hsa-miR-132-5p	miRNA	MIMAT0004594	chr17	2049965	2049986	-	6	31	11	0	5	8	0	5
MIMAT0004595	hsa-miR-135a-3p	miRNA	MIMAT0004595	chr3	52294232	52294253	-	4	10	0	0	0	4	0	0
MIMAT0004597	hsa-miR-140-3p	miRNA	MIMAT0004597	chr16	69933142	69933162	+	108	74	81	28	53	55	56	47
MIMAT0004601	hsa-miR-145-3p	miRNA	MIMAT0004601	chr5	149430699	149430720	+	27	18	41	0	20	25	0	19
MIMAT0004602	hsa-miR-125a-3p	miRNA	MIMAT0004602	chr19	51693306	51693327	+	65	36	4	15	30	11	8	15
MIMAT0004603	hsa-miR-125b-2-3p	miRNA	MIMAT0004603	chr21	16590290	16590311	+	271	184	53	7	149	172	32	72
MIMAT0004604	hsa-miR-127-5p	miRNA	MIMAT0004604	chr14	100883001	100883022	+	9	0	4	8	0	3	0	0
MIMAT0004605	hsa-miR-129-2-3p	miRNA	MIMAT0004605	chr11	43581450	43581471	+	1	1	34	0	4	13	0	0
MIMAT0004606	hsa-miR-136-3p	miRNA	MIMAT0004606	chr14	100884750	100884771	+	16	14	3	0	3	0	0	1
MIMAT0004612	hsa-miR-186-3p	miRNA	MIMAT0004612	chr1	71067642	71067663	-	2	5	0	0	0	0	0	0
MIMAT0004614	hsa-miR-193a-5p	miRNA	MIMAT0004614	chr17	31560016	31560037	+	115	73	22	9	1	16	7	17
MIMAT0004672	hsa-miR-106b-3p	miRNA	MIMAT0004672	chr7	100094002	100094023	-	116	45	6	20	25	9	28	0
MIMAT0004673	hsa-miR-29c-5p	miRNA	MIMAT0004673	chr1	207801903	207801924	-	5	0	1	0	0	0	0	0
MIMAT0004674	hsa-miR-30c-1-3p	miRNA	MIMAT0004674	chr1	40757339	40757360	+	10	2	0	11	0	0	0	0
MIMAT0004675	hsa-miR-219a-2-3p	miRNA	MIMAT0004675	chr9	128392632	128392653	-	11	9	65	17	0	2	0	39
MIMAT0004676	hsa-miR-34b-3p	miRNA	MIMAT0004676	chr11	111512987	111513008	+	5	14	0	0	0	0	0	0
MIMAT0004677	hsa-miR-34c-3p	miRNA	MIMAT0004677	chr11	111513484	111513505	+	6	0	0	0	0	7	0	0
MIMAT0004678	hsa-miR-99b-3p	miRNA	MIMAT0004678	chr19	51692656	51692677	+	130	140	33	0	51	40	0	2
MIMAT0004679	hsa-miR-296-3p	miRNA	MIMAT0004679	chr20	58817626	58817647	-	30	1	21	0	4	12	16	8
MIMAT0004680	hsa-miR-130b-5p	miRNA	MIMAT0004680	chr22	21653316	21653336	+	280	197	23	6	34	37	5	8
MIMAT0004682	hsa-miR-361-3p	miRNA	MIMAT0004682	chrX	85903641	85903663	-	2	0	0	6	0	16	0	1
MIMAT0004688	hsa-miR-374a-3p	miRNA	MIMAT0004688	chrX	74287295	74287316	-	32	9	0	0	0	4	0	6
MIMAT0004689	hsa-miR-377-5p	miRNA	MIMAT0004689	chr14	101062056	101062077	+	32	46	22	8	9	17	0	28
MIMAT0004690	hsa-miR-379-3p	miRNA	MIMAT0004690	chr14	101022109	101022130	+	27	27	4	8	0	0	3	21
MIMAT0004692	hsa-miR-340-5p	miRNA	MIMAT0004692	chr5	180015361	180015382	-	116	65	48	23	79	69	22	42
MIMAT0004693	hsa-miR-330-5p	miRNA	MIMAT0004693	chr19	45639049	45639070	-	3	14	0	0	3	7	0	0
MIMAT0004694	hsa-miR-342-5p	miRNA	MIMAT0004694	chr14	100109673	100109693	+	14	21	16	4	4	13	16	30
MIMAT0004695	hsa-miR-337-5p	miRNA	MIMAT0004695	chr14	100874515	100874535	+	97	96	78	1	59	47	17	47
MIMAT0004696	hsa-miR-323a-5p	miRNA	MIMAT0004696	chr14	101025747	101025768	+	34	34	10	0	17	29	9	0
MIMAT0004697	hsa-miR-151a-5p	miRNA	MIMAT0004697	chr8	140732623	140732643	-	2597	1937	643	297	925	622	325	306
MIMAT0004700	hsa-miR-331-5p	miRNA	MIMAT0004700	chr12	95308445	95308466	+	4	0	2	4	0	0	5	1
MIMAT0004701	hsa-miR-338-5p	miRNA	MIMAT0004701	chr17	81125923	81125944	-	3	9	1	5	10	13	0	0
MIMAT0004702	hsa-miR-339-3p	miRNA	MIMAT0004702	chr7	1022955	1022977	-	95	87	24	8	49	9	0	3
MIMAT0004703	hsa-miR-335-3p	miRNA	MIMAT0004703	chr7	130496162	130496183	+	150	123	45	7	39	16	30	41
MIMAT0004748	hsa-miR-423-5p	miRNA	MIMAT0004748	chr17	30117095	30117117	+	2549	2385	1131	464	1161	2106	336	840
MIMAT0004749	hsa-miR-424-3p	miRNA	MIMAT0004749	chrX	134546644	134546664	-	214	187	121	81	109	164	50	45
MIMAT0004751	hsa-miR-18b-3p	miRNA	MIMAT0004751	chrX	134170042	134170063	-	3	10	0	0	0	0	2	0
MIMAT0004752	hsa-miR-20b-3p	miRNA	MIMAT0004752	chrX	134169813	134169834	-	44	40	18	0	28	38	7	0
MIMAT0004757	hsa-miR-431-3p	miRNA	MIMAT0004757	chr14	100881069	100881090	+	16	40	21	3	21	24	11	4
MIMAT0004761	hsa-miR-483-5p	miRNA	MIMAT0004761	chr11	2134181	2134202	-	37	22	8	30	16	25	12	0
MIMAT0004762	hsa-miR-486-3p	miRNA	MIMAT0004762	chr8	41660443	41660463	-	1	0	8	7	0	18	1	2
MIMAT0004762_1	hsa-miR-486-3p	miRNA	MIMAT0004762	chr8	41660486	41660506	+	0	0	6	6	0	19	0	4
MIMAT0004767	hsa-miR-193b-5p	miRNA	MIMAT0004767	chr16	14303980	14304001	+	65	46	64	7	29	57	12	27
MIMAT0004770	hsa-miR-516a-5p	miRNA	MIMAT0004770	chr19	53756756	53756778	+	6	0	6	0	0	0	0	0
MIMAT0004770_1	hsa-miR-516a-5p	miRNA	MIMAT0004770	chr19	53761148	53761170	+	6	0	3	0	0	0	0	0
MIMAT0004773	hsa-miR-500a-5p	miRNA	MIMAT0004773	chrX	50008443	50008465	+	3	11	4	0	3	0	0	0
MIMAT0004774	hsa-miR-501-3p	miRNA	MIMAT0004774	chrX	50009772	50009793	+	173	178	65	18	75	99	37	53
MIMAT0004775	hsa-miR-502-3p	miRNA	MIMAT0004775	chrX	50014649	50014670	+	64	13	17	5	18	37	9	0
MIMAT0004776	hsa-miR-505-5p	miRNA	MIMAT0004776	chrX	139924196	139924217	-	124	166	49	4	60	58	6	8
MIMAT0004780	hsa-miR-532-3p	miRNA	MIMAT0004780	chrX	50003204	50003225	+	53	24	6	0	0	5	0	0
MIMAT0004784	hsa-miR-455-3p	miRNA	MIMAT0004784	chr9	114209487	114209507	+	4221	3877	1212	379	1545	1390	234	326
MIMAT0004792	hsa-miR-92b-5p	miRNA	MIMAT0004792	chr1	155195196	155195217	+	239	215	28	0	78	161	5	0
MIMAT0004793	hsa-miR-556-3p	miRNA	MIMAT0004793	chr1	162342600	162342621	+	1	7	0	0	0	0	0	0
MIMAT0004794	hsa-miR-551b-5p	miRNA	MIMAT0004794	chr3	168551875	168551896	+	1	3	0	0	0	0	0	0
MIMAT0004795	hsa-miR-574-5p	miRNA	MIMAT0004795	chr4	38868056	38868078	+	648	520	180	62	116	162	70	74
MIMAT0004796	hsa-miR-576-3p	miRNA	MIMAT0004796	chr4	109488752	109488773	+	17	0	4	0	0	9	12	0
MIMAT0004798	hsa-miR-548b-5p	miRNA	MIMAT0004798	chr6	119069098	119069119	-	1	1	0	0	0	0	0	0
MIMAT0004799	hsa-miR-589-5p	miRNA	MIMAT0004799	chr7	5495873	5495894	-	63	35	14	0	26	9	9	0
MIMAT0004800	hsa-miR-550a-5p	miRNA	MIMAT0004800	chr7	30289815	30289837	+	5	2	0	0	0	0	0	0
MIMAT0004800_1	hsa-miR-550a-5p	miRNA	MIMAT0004800	chr7	32733002	32733024	+	5	4	0	0	0	0	0	0
MIMAT0004801	hsa-miR-590-3p	miRNA	MIMAT0004801	chr7	74191253	74191273	+	8	7	3	11	5	5	5	10
MIMAT0004808	hsa-miR-625-3p	miRNA	MIMAT0004808	chr14	65471153	65471174	+	4	4	0	0	0	0	0	0
MIMAT0004809	hsa-miR-628-5p	miRNA	MIMAT0004809	chr15	55372991	55373012	-	5	2	0	0	16	0	0	0
MIMAT0004810	hsa-miR-629-5p	miRNA	MIMAT0004810	chr15	70079427	70079447	-	51	26	6	1	22	27	0	5
MIMAT0004811	hsa-miR-33b-3p	miRNA	MIMAT0004811	chr17	17813857	17813878	-	7	4	0	0	0	0	0	0
MIMAT0004813	hsa-miR-411-3p	miRNA	MIMAT0004813	chr14	101023375	101023396	+	65	40	19	5	5	4	2	0
MIMAT0004814	hsa-miR-654-3p	miRNA	MIMAT0004814	chr14	101040269	101040290	+	246	152	85	16	96	186	28	54
MIMAT0004819	hsa-miR-671-3p	miRNA	MIMAT0004819	chr7	151238488	151238508	+	11	8	2	0	9	2	0	0
MIMAT0004902	hsa-miR-891a-5p	miRNA	MIMAT0004902	chrX	146027841	146027862	-	4	0	0	0	6	0	0	0
MIMAT0004909	hsa-miR-450b-5p	miRNA	MIMAT0004909	chrX	134540231	134540252	-	14	7	19	0	4	18	0	0
MIMAT0004911	hsa-miR-874-3p	miRNA	MIMAT0004911	chr5	137647582	137647603	-	55	83	34	0	15	19	1	37
MIMAT0004919	hsa-miR-541-5p	miRNA	MIMAT0004919	chr14	101064504	101064528	+	9	12	5	3	3	0	0	0
MIMAT0004920	hsa-miR-541-3p	miRNA	MIMAT0004920	chr14	101064548	101064569	+	6	1	0	0	0	5	0	1
MIMAT0004921	hsa-miR-889-3p	miRNA	MIMAT0004921	chr14	101047949	101047969	+	39	20	0	11	15	12	6	4
MIMAT0004926	hsa-miR-708-5p	miRNA	MIMAT0004926	chr11	79402077	79402099	-	153	124	26	0	46	31	0	0
MIMAT0004927	hsa-miR-708-3p	miRNA	MIMAT0004927	chr11	79402032	79402053	-	7	2	3	0	8	8	0	0
MIMAT0004929	hsa-miR-190b-5p	miRNA	MIMAT0004929	chr1	154193712	154193733	-	0	1	0	0	0	3	0	7
MIMAT0004945	hsa-miR-744-5p	miRNA	MIMAT0004945	chr17	12081909	12081930	+	570	564	47	37	286	355	61	52
MIMAT0004946	hsa-miR-744-3p	miRNA	MIMAT0004946	chr17	12081966	12081987	+	2	0	0	4	12	0	0	0
MIMAT0004949	hsa-miR-877-5p	miRNA	MIMAT0004949	chr6	30584332	30584351	+	310	373	105	32	197	299	30	24
MIMAT0004950	hsa-miR-877-3p	miRNA	MIMAT0004950	chr6	30584397	30584417	+	20	0	13	0	0	11	0	0
MIMAT0004951	hsa-miR-887-3p	miRNA	MIMAT0004951	chr5	15935229	15935250	+	148	99	41	6	67	57	0	7
MIMAT0004952	hsa-miR-665	miRNA	MIMAT0004952	chr14	100875075	100875094	+	8	11	4	0	10	1	2	0
